"EAGLE -Title  Revised: Thursday, September 14, 2017"												
870-00135-00          Revision: B0												
												
												
												
												
												
												
												
"Bill Of Materials      September 19,2017      20:23:11"	Page1											
												
Item	Quantity	Reference	Part	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS
11	20	"C401,C524,C536,C548,C559,C624,C636,C648,C659,C723,C734,C864,C876,C888,C900,C912,C924,C936,C949,C961"	2.2uF_4V_0402	33	CAP CER 2.2UF 4V X5R 0402	Taiyo Yuden	MK105BJ225MV-F	Venkel	C0402X5R4R0-225MNP	CAP0402	0.55	Y
12	40	"C36,C247,C267,C365,C400,C435,C522,C523,C534,C535,C546,C547,C558,C622,C623,C634,C635,C646,C647,C658,C722,C733,C862,C863,C874,C875,C886,C887,C898,C899,C910,C911,C922,C923,C934,C935,C947,C948,C959,C960"	4.7uF_4V_0402	34	CAP CER 4.7UF 4V X5R 0402	Taiyo Yuden	MK105BJ475MV-F	Venkel	C0402X5R4R0-475MNP	CAP0402	0.55	Y
13	15	"C79,C483,C484,C485,C486,C487,C488,C489,C490,C493,C494,C605,C614,C808,C1903"	39pF_0603	36	CAP CER 39PF 50V 5% NP0 0603	TDK	C1608C0G1H390JT00N			CAP0603	0.55	Y
14	2	"C62,C1376"	2.2nF_0603	44	CAP CER 2200pF 50V 0603'	TDK	C0603C222K5RACTU			CAP0603	0.3	Y
15	14	"C136,C141,C142,C154,C218,C337,C338,C412,C413,C414,C415,C1345,C1907,C1908"	0.1uF_0603	46	"CAP. 1UF, X5R, 50V, 10% 0603"	Murata	GRM188R71H104KA93D		C0603C104K5RACTU	CAP0603	0.9	Y
16	6	"C120,C143,C144,C790,C797,C800"	0.47uF_0603	T48	CAP CER 0.47uF 50V 5% X7R 0603	TDK	C1608X5R1H474MT000N			CAP0603	0.3	Y
17	4	"C1079,C1371,C1372,C1905"	1uF_16V_0603	49	CAP CER 1uF 16V 20% Y5V 0603	Murata	GRM188R61C105KA93J	Yageo	CC0603ZRY5V7BB105	CAP0603	0.3	Y
18	15	"C266,C274,C379,C399,C721,C732,C751,C761,C771,C781,C782,C783,C784,C785,C861"	10uF_6V3_0603	T51	"CAP, 10uF, X5R, 6.3V, 10%, 0603"	TAIYO YUDEN	JMK107BJ106MA-T	venkel	C0603X5R6R3-106MNP	CAP0603	0.3	Y
19	8	"C282,C292,C302,C312,C322,C332,C342,C352"	2.2nF_0805	54	"CAP,2.2 nF,X7R,50V,10%, 0805"	NIC	NMC0805X7R222K50			CAP0805	1.25	Y
20	185	"C22,C23,C24,C42,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C63,C64,C65,C66,C90,C91,C92,C93,C94,C95,C112,C122,C123,C124,C135,C150,C152,C156,C181,C182,C183,C184,C187,C191,C192,C193,C194,C197,C201,C202,C203,C204,C208,C209,C211,C212,C213,C214,C221,C222,C223,C224,C229,C230,C231,C232,C233,C234,C241,C242,C243,C244,C251,C252,C253,C254,C260,C262,C264,C272,C281,C283,C284,C287,C288,C291,C293,C294,C297,C298,C301,C303,C304,C308,C311,C313,C314,C321,C323,C324,C331,C333,C334,C341,C343,C344,C351,C353,C354,C369,C371,C373,C417,C432,C433,C439,C520,C521,C533,C545,C557,C563,C564,C565,C566,C567,C568,C573,C574,C575,C576,C577,C578,C584,C585,C586,C587,C588,C595,C596,C597,C598,C609,C615,C619,C621,C633,C645,C657,C663,C665,C666,C667,C668,C674,C675,C676,C677,C678,C685,C686,C687,C688,C695,C696,C697,C698,C705,C707,C710,C711,C712,C720,C745,C746,C754,C755,C756,C764,C765,C766,C774,C775,C776,C787,C789,C791,C792,C794,C1319"	22uF_6V3_0805	57	CAP CER 22UF 6.3V 20% X5R 0805	Tayo Yuden	JMK212BJ226MG-T	venkel	C0805X5R6R3-226MNE	CAP0805	1.25	Y
21	3	"C16,C436,C684"	4.7uF_16V_1206	59	"CAP,4.7uF,X5R,16V,10%, 1206"	TDK	C1206C475K4PAC			CAP1206	1.25	Y
22	22	"C13,C15,C19,C20,C45,C46,C47,C48,C86,C87,C88,C89,C703,C709,C718,C719,C752,C753,C762,C763,C772,C773"	10uF_16V_1206	61	CAP CER. 10 UF 16V 120	MURATA	GRM31CR71C106KAC7L			CAP1206	0.8	Y
23	3	"C17,C437,C693"	22uF_16V_1206	63	CAP CER 22UF 16V 1206	MURATA	GRM31CR61C226ME15L			CAP1206	0.8	Y
24	6	"C5,C6,C7,C8,C9,C10"	22uF_16V_1210	66	CAP CER 22UF 16V X5R 20% 1210	AVX	C3225X5R1C226M			CAP1210	2.79	Y
25	10	"C21,C43,C44,C84,C85,C161,C616,C617,C618,C717"	47uF_16V_1210	67	CAP 47UF 16V CERAMIC X5R 1210	MURATA	GRM32ER61C476ME15L	Venkel	C1210X5R160-476MNE 	CAP1210	2.7	Y
26	2	"C171,C798"	100uF_6V3_3528	71	CAP TANT ESR 250mO 100UF 6.3V 10% 3528	AVX	TPSB107K006R0250		TCJB107M006R0070	CAPMP3528	1.9	Y
27	6	"C512,C513,C514,C604,C611,C612"	470uF_4V_7343_ESR15	79	CAP TANT ESR 15mO 470UF 4V 20% SMD	AVX	T520D477M004ATE015	Sanyo	4TPF470ML	CAPMP7343	2.9	Y
28	2	"RN2,RN12"	MNR14240TR	88	RES ARRAY 24 OHM 8TERM 4RES 0603 5%SMD	ROHM	MNR14240TR			EXB-38V		
29	3	"RN42,RN43,RN44"	EXB-38V102JV	89	RES ARRAY 1 KOHM 5% 4 RES SMD0603x4	Panasonic	EXB-38V102JV			EXB-38V	0.6	Y
30	2	"RN1,RN14"	742C163220J	98	RES ARRAY 22 OHM 16TERM 8RES 0603 5% SMD	CTS	742C163220J			RPACK_742C16		
31	21	"R13,R14,R149,R221,R237,R238,R277,R295,R296,R401,R414,R417,R421,R424,R454,R467,R493,R590,R591,R615,R616"	0R_0402	106	"RES, 0 OHM, 1%, 0402"	Panasonic	ERJ-2GE0R00X	venkel	CR0402-16W-000T	RES0402	0.3	Y
32	38	"R144,R145,R146,R147,R308,R310,R574,R575,R576,R577,R578,R579,R583,R585,R587,R588,R589,R592,R593,R594,R595,R596,R597,R598,R599,R600,R602,R604,R605,R606,R607,R608,R609,R610,R611,R612,R613,R614"	100_1%_0402	120	"RES, 100 OHM, 1%, 0402"	ROHM	MCR01MZPF1000			RES0402	0.3	Y
33	6	"R95,R96,R97,R397,R415,R418"	150_1%_0402	125	"RES, 150 OHM, 1%, 0402"	ROHM	MCR01MZPF1500			RES0402	0.3	Y
34	1	R293	200_1%_0402	127	"RES, 200 OHM, 1%, 0402"	Panasonic	ERJ-2RKF2000X	Venkel	CR0402-16W-2000FT	RES0402	0.3	Y
35	2	"R312,R352"	240_1%_0402	129	"RES, 240 OHM, 1%, 0402"	Panasonic	ERJ-2RKF2400X			RES0402	0.3	Y
36	3	"R204,R213,R217"	1K_1%_0402	145	RES 1.0K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1001X			RES0402	0.3	Y
37	2	"R304,R403"	1.02K_1%_0402	146	RES 1.02K 1% 0402	PANASONIC	ERJ2RKF1021X			RES0402	0.3	Y
38	1	R405	1.78K_1%_0402	154	RES 1.78K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1781X			RES0402	0.3	Y
39	1	R321	2.32K_1%_0402	160	RES 2.32K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2321X	Venkel	CR0402-16W-2321FT	RES0402	0.3	Y
40	2	"R313,R404"	2.43K_1%_0402	162	"RES, 2.43K OHM, 1%, 0402"	Panasonic	ERJ-2RKF2431X	Venkel	CR0402-16W-2431FT	RES0402	0.3	Y
41	2	"R8,R280"	2.49K_1%_0402	163	RES 2.49K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2491X			RES0402	0.3	Y
42	2	"R239,R466"	3.9K_1%_0402	175	RES 3.9K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3901X			RES0402	0.3	Y
43	6	"R73,R74,R199,R338,R339,R340"	7.5K_1%_0402	189	RES 7.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF7501X			RES0402	0.3	Y
44	2	"R463,R464"	8.25K_1%_0402	190	RES 8.25K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF8251X			RES0402	0.3	Y
45	2	"R151,R518"	9.31K_1%_0402	194	RES 9.31K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF9311X			RES0402	0.3	Y
46	14	"R23,R58,R59,R60,R62,R63,R65,R193,R194,R342,R347,R350,R396,R622"	10K_1%_0402	195	RES 10K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1002X			RES0402	0.3	Y
47	27	"R1,R2,R3,R4,R5,R6,R21,R94,R245,R302,R303,R317,R320,R406,R408,R411,R412,R513,R526,R529,R534,R601,R603,R617,R627,R1211,R1296"	10.2K_1%_0402	196	RES 10.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1022X			RES0402	0.3	Y
48	1	R628	11.5K_1%_0402	199	RES 11.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1152X			RES0402	0.3	Y
49	2	"R41,R42"	12K_1%_0402	200	RES 12K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1202X			RES0402	0.3	Y
50	1	R621	12.7K_1%_0402	203	RES 12.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1272X	venkel	CR0402-16W-1272FT		0.3	Y
51	4	"R189,R301,R309,R402"	13.3K_1%_0402	204	RES 13.3K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1332X			RES0402	0.3	Y
52	1	R460	18.2K_1%_0402	213	"RES, 18.2K OHM, 1%, 0402"	Panasonic	ERJ-2RKF1822X	Venkel	CR0402-16W-1822FT	RES0402	0.3	Y
53	3	"R101,R514,R1348"	20K_1%_0402	216	RES 20K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2002X			RES0402	0.3	Y
54	1	R1347	20.5K_1%_0402	217	RES 20.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2052X			RES0402	0.3	Y
55	1	R22	31.6K_1%_0402	227	RES 31.6K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3162X	Venkel	CR0402-16W-3162FT	RES0402	0.3	Y
56	1	R504	68.1K_1%_0402	242	"RES, 68.1K OHM, 1%, 0402"	Panasonic	ERJ-2RKF6812X	Venkel	CR0402-16W-6812FT	RES0402	0.3	Y
57	10	"R283,R290,R298,R300,R331,R416,R420,R423,R453,R456"	1R_0402	265	RES 1 OHM 5% 0402	Panasonic	ERJ-2GEJ1R0X			RES0402	0.3	Y
58	49	"R351,R355,R356,R357,R358,R359,R360,R361,R362,R363,R364,R365,R366,R367,R368,R369,R370,R371,R372,R373,R374,R375,R376,R377,R378,R379,R380,R381,R382,R383,R384,R385,R386,R387,R388,R389,R390,R391,R392,R393,R394,R395,R398,R399,R400,R407,R413,R419,R425"	120_0402	272	RES 120 OHM 5% 0406	Panasonic	ERJ-2GEJ121X			RES0402	0.3	Y
59	32	"R197,R246,R314,R315,R316,R318,R319,R322,R325,R327,R328,R329,R330,R332,R343,R344,R345,R346,R348,R349,R439,R447,R448,R449,R450,R451,R452,R457,R458,R468,R469,R470"	1.8K_0402	276	RES 1.8K OHM 1/16W 5% 0402 SMD	Panasonic	ERJ-2GEJ182X			RES0402	0.3	Y
60	16	"R241,R242,R243,R244,R294,R354,R555,R1212,R1213,R1214,R1215,R1216,R1217,R1218,R1219,R1220"	2K_0402	277	RES 2K OHM 5% 0402	Panasonic	ERJ-2GEJ202X			RES0402	0.3	Y
61	6	"R139,R142,R233,R234,R275,R558"	4.7K_0402	280	RES 4.7k OHM 5% 0402	Panasonic	ERJ-2GEJ472X			RES0402	0.3	Y
62	7	"R306,R311,R410,R482,R580,R618,R624"	47K_0402	282	RES 47K OHM 1/16W 5% 0402 SMD	Panasonic	ERJ-2GEJ473X			RES0402	0.3	Y
63	1	R24	49R9_1%_0603	284	"RES, 49.9 OHM, 1%, 0603"	PANASONIC	ERJ3EKF49R9V			RES0603	0.3	Y
64	16	"R100,R148,R173,R175,R177,R179,R181,R212,R214,R231,R235,R472,R483,R492,R521,R1431"	499_1%_0603	291	"RES, 499 OHM, 1%, 0603"	PANASONIC	ERJ3EKF4990V			RES0603	0.3	Y
65	20	"R160,R161,R162,R163,R171,R200,R201,R202,R203,R205,R209,R218,R219,R230,R305,R307,R409,R473,R506,R515"	1.5K_1%_0603	293	RES 1.5K 0603 1%	Panasonic	ERJ-3EKF1501V			RES0603	0.3	Y
66	46	"R75,R82,R84,R88,R89,R90,R91,R92,R103,R104,R105,R106,R107,R116,R117,R118,R119,R120,R122,R123,R124,R125,R126,R128,R129,R130,R131,R132,R134,R135,R136,R137,R138,R257,R262,R1245,R1247,R1248,R1337,R1338,R1339,R1340,R1341,R1342,R1419,R1420"	2.21K_1%_0603	297	"RES, 2.21K OHM, 1%, 0603"	PANASONIC	ERJ3EKF2211V			RES0603	0.3	Y
67	54	"R37,R38,R39,R40,R47,R53,R54,R57,R68,R98,R99,R108,R111,R112,R115,R121,R127,R133,R140,R141,R143,R154,R155,R156,R164,R165,R166,R182,R206,R207,R208,R210,R211,R216,R224,R225,R227,R228,R236,R247,R248,R249,R250,R251,R252,R254,R256,R264,R272,R274,R478,R479,R1425,R1426"	2.32K_1%_0603	298	"RES, 2.32K OHM, 1%, 0603"	PANASONIC	ERJ3EKF2321V			RES0603	0.3	Y
68	28	"R9,R10,R12,R15,R16,R25,R26,R27,R28,R29,R30,R31,R35,R86,R159,R281,R284,R285,R286,R287,R289,R291,R292,R427,R435,R459,R503,R1295"	12.7K_1%_0603	304	"RES, 12.7 KOHM, 1%, 0603"	Panasonic	ERJ3EKF1272V			RES0603	0.3	Y
69	7	"R170,R172,R174,R176,R432,R520,R1346"	29.4K_1%_0603	309	RES. 29K4 0603 1%	Panasonic	ERJ-3EKF2942V			RES0603	0.3	Y
70	2	"R335,R336"	30.1K_1%_0603	310	"RES, 30.1K OHM, 1%, 0603"	PANASONIC	ERJ3EKF3012V			RES0603	0.3	Y
71	10	"R268,R269,R270,R271,R273,R276,R282,R288,R297,R299"	43.2K_1%_0603	317	RES.43.2K 0603 1%	Panasonic	ERJ-3EKF4322V			RES0603	0.3	Y
72	5	"R153,R167,R168,R169,R1432"	51.1K_1%_0603	319	"RES, 51.1K OHM, 1%, 0603"	PANASONIC	ERJ3EKF5112V			RES0603	0.3	Y
73	1	R337	56.2K_1%_0603	323	"RES, 56.2K OHM, 1%, 0603"	PANASONIC	ERJ3EKF5622V			RES0603	0.3	Y
74	4	"R324,R326,R1298,R1299"	60.4K_1%_0603	324	60.4K 1% 0603	Yageo	RC0603FR-0760K4L			RES0603	0.3	Y
75	28	"R11,R43,R44,R45,R46,R48,R81,R83,R85,R240,R333,R334,R438,R536,R1300,R1303,R1406,R1407,R1408,R1409,R1410,R1411,R1412,R1413,R1429,R1430,R1437,R1438"	100K_1%_0603	326	RES. 100K 0603 1%	Panasonic	ERJ-3EKF1003V			RES0603	0.3	Y
76	2	"R1424,R1436"	200K_1%_0603	331	200K 1% 0603	Yageo	RC0603FR-07200KL			RES0603	0.3	Y
77	9	"R198,R215,R220,R222,R223,R226,R323,R1302,R1333"	10R_0603	343	"RES, 10 OHM, 5%, 0603"	PANASONIC	ERJ-3GEYJ100V			RES0603	0.3	Y
78	7	"R7,R263,R278,R279,R505,R507,R539"	22R_0603	344	"RES, 22 OHM, 5%, 0603"	PANASONIC	ERJ-3GEYJ220V			RES0603	0.3	Y
79	1	R353	33R_0603	345	"RES, 33 OHM, 5%, 0603"	PANASONIC	ERJ-3GEYJ330V			RES0603	0.3	Y
80	8	"R17,R187,R188,R190,R191,R517,R559,R560"	100_0603	347	"RES, 100 OHM, 5%, 0603"	PANASONIC	ERJ-3GEYJ101V			RES0603	0.3	Y
81	4	"R109,R110,R113,R114"	220_0603	349	"RES, 220 OHM, 5%, 0603"	PANASONIC	ERJ-3GEYJ221V			RES0603	0.3	Y
82	6	"R150,R152,R471,R480,R481,R484"	0R_0805	361	RES 0.0 OHM 1/8W 0805 SMD	Panasonic	ERJ6GEY0R00V		RK73Z2AATD	RES0805	0.65	Y
83	4	"R178,R180,R183,R184"	100_1206	366	RES 100 OHM 1/3W 5% 1206 SMD	Stackpole	RNCP1206FTD100R			RES1206	0.65	Y
84	2	"R185,R186"	220_1206	367	RES 220 OHM 1/3W 5% 1206 SMD	Rohm	ESR18EZPJ221	Stackpole	RNCP1206FTD100R	RES1206	0.65	Y
85	9	"R32,R33,R34,R36,R102,R485,R498,R509,R512"	2.2K_1206	368	RES 2.2K 1206 1%	Vishay	CRCW12062k20FKEA			RES1206	1.6	Y
86	6	"R18,R19,R20,R93,R192,R229"	0R100_1%_1206	370	RES .10 OHM 1/4W 1% 1206 SMD	Vishay\Dale	WSL1206R1000FEA			RES1206	1.6	Y
87	9	"FUSE1,FUSE2,FUSE3,FUSE4,FUSE5,FUSE6,FUSE7,FUSE8,FUSE9"	ERB-RE3R00V	381	FUSE 3.0A 32V FAST SMD 0603	Panasonic	ERB-RE3R00V			RES0603	0.49	Y
88	5	"FB2,FB3,FB4,FB5,FB7"	BLM15HD102SN1D	384	FERRITE 1000 OHM 250MA 1.25 Ohm 0402	Murata	BLM15HD102SN1D			fb0402		
89	3	"L23,L24,L25"	18nH_0402	393	INDUCTOR 18NH 300MA 0402	MURATA	LQG15HS18NJ02D			RES0402	0.5	Y
90	3	"L2,L28,L29"	IHLP2525CZER4R7M01	396	INDUCTOR POWER 4.7UH 5.5A SMD	vishay	IHLP2525CZER4R7M01			IHLP2525	3	Y
91	2	"L9,L21"	IHLP2525CZERR47M01	397	INDUCTOR POWER .47UH 15.5A SMD	vishay	IHLP2525CZERR47M01		SWSM0603HW-R47MF	IHLP2525	3	Y
92	10	"L7,L8,L11,L12,L13,L14,L30,L31,L32,L33"	PA2607.231NLT	399	INDUCTOR PWR 0.23UH 0.29 mOhm 37A SMD10.4x7.9x7.3mm	Pulse	PA2607.231NLT			PA2607	7.3	Y
93	4	"D14,D15,D17,D19"	1PS79SB10	403	DIODE SCHOTTKY 30V 200MA SC79	NXP	1PS79SB10			SOD523P120X80	0.65	Y
94	4	"D33,D34,D35,D62"	MMBD4148CC-TP	405	DIODE ULT FAST 200MA 75V SOT-23	Micro Commercial Co	MMBD4148CC-TP			SOT95P230X109-3N	1	Y
95	8	"D1,D7,D8,D11,D12,D24,D28,D36"	LED_0603_GRN	409	GREEN SMD 0603 LED	STANLEY	PG1111C-TR			LEDC1608X80N	0.7	Y
96	3	"D3,D4,D18"	LED_0603_RED	410	Red SMD 0603 LED	Lite-On	LTST-C190KRKT			LEDC1608X80N	0.8	Y
97	1	D2	LED_1206_RED	413	LED H.E. RED DIFF 1206 SMD	VisualComm	CMD15-21VRD			LED_1206	1	Y
