"EAGLE -Title  Revised: Thursday, September 14, 2017"												
870-00135-00          Revision: B0												
												
												
												
												
												
												
												
"Bill Of Materials      September 19,2017      20:23:11"	Page1											
												
Item	Quantity	Reference	Part	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS
110	1	CON26	SUBD_DUAL_9P_RA_MALE	489	CON DSUB9 DUAL RIGHT ANGLE TH	NORCOMP INC.	189-009-613R571			189-009-613R571	31.6	Y
111	1	CON20	WPES-036AN41B22UWC	490	CON PCIEXPRESS X1 VERTICAL OPEN END	winning	WPES-036AN41B22UWC			WPES-036AN41B22UWC	25.4	Y
112	1	CON19	WPES-098AN41B22UWC	492	CON PCIEXPRESS X8 VERTICAL OPEN END	Winwin	WPES-098AN41B22UWC			WPES-098AN41B22UWC	25.4	Y
113	1	U17	AT24CM01-SSHM	504	IC EEPROM 1MBIT 1MHZ 8SOIC	Atmel	AT24CM01-SSHM			SOIC127P600X175-8P	1	Y
114	2	"U15,U28"	GTL2002D	511	IC xlatr 2bit bidir OD soic8	NXP	"GTL2002D,118"			SOIC127P600X175-8N	1.75	Y
115	2	"U23,U67"	IP4220CZ6	514	IC USB DUAL ESD PROTECT 6TSOP	NXP	IP4220CZ6			SOT95P280X145-6N	1	Y
116	1	U11	LM95231CIMM-1	523	IC DUAL REM DIODE TEMP SNSR8MSOP	National Semi	LM95231CIMM-1			TSOP65P490X94-8N	2.9133	Y
117	1	U2	LT1117CST-3.3	524	IC REG LDO 3.3V .8A SOT-223	Linear Tech	LT1117CST-3.3				1.8	Y
118	1	U58	MAX811TEUS+T	536	IC MPU V-MONITOR 2.63V SOT143-4	Maxim	MAX811TEUS+T			SOT143	1	Y
119	2	"U39,U40"	PCA9545APW	548	IC I2C SWITCH 4CH 20-TSSOP	NXP	PCA9545APW			SOP65P640X110-20N	1.75	Y
120	2	"U22,U78"	RTL8211E-VB-CG	552	Gigabit Ethernet Transciever RGMII EEE	Realtek	RTL8211E-VB-CG			QFN40P600X600X80-48EP4	1	Y
121	2	"U62,U63"	SN74AVC2T245RSWR	556	IC BUS TRANSCVR TRI-ST DL 10QFN	TI	SN74AVC2T245RSWR					Y
122	1	U24	SN74LVC1G04DBVR	559	IC SINGLE INVERTER-GATE SOT-23-5	TI	SN74LVC1G04DBVR			SOT95P280X145-5N	1	Y
123	3	"U19,U68,U76"	SN74LVC1G125DCK	561	IC BUS BUFF TRI-ST N-INV SC-70-5	TI	SN74LVC1G125DCKR		SN74LVC1G125GW-G	SOT65P210X110-5N	1	Y
124	1	U80	TL431ACDR	564	IC ADJ SHUNT REG 8-SOIC	TI	TL431ACDR			SOIC127P600X175-8N	1	Y
125	4	"U57,U59,U66,U69"	TPD2EUSB30DRTR	567	IC ESD SOLUTION 2CH SOT3	Texas Instruments	TPD2EUSB30DRTR			SOT95P280X145-6N	0.55	Y
126	4	"U18,U29,U30,U55"	TPS2051BDBV	568	"SWITCH, POWER, SOT23-5"	TI	TPS2051BDBV			SOT95P280X145-5N	1	Y
127	2	"U53,U61"	TS3A44159PWR	574	IC SWITCH QUAD SPDT 16TSSOP	Texas Instruments	TS3A44159PWR			TSSOP65P640X120-16N	0.55	Y
128	1	U54	TXS0108EPWR	576	IC 8BIT NON-INV TRANSLTR 20TSSOP	TI	TXS0108EPWR			TSOP65P640X120-20AN	1.2	Y
129	1	Y3	ECS-.327-12.5-17-TR	599	crystal 32.768kHz 12.5pF	ECS Inc	ECS-.327-12.5-17-TR			ECX-306	1.8	Y
130	1	Y7	NX5032GA-24MHZ	602	CRYSTAL 24.000000MHZ 8PF SMD	NDK	NX5032GA-24.000000MHZ			NX5032GA	1.3	Y
131	5	"Y1,Y2,Y4,Y6,Y8"	NX5032GA-25MHZ	603	CRYSTAL 25.000 MHZ SMT 8PF	NDK	NX5032GA-25.000000MHZ-LN-CD-1	NDK	NX5032GA-25.000M-STD-CSK-4 	NX5032GA	1.3	Y
132	2	"L1,L3"	CBC2518T220M	645	FIXED IND2518 22UH 460MA 1 OHM	Taiyo Yuden	CBC2518T220M			IND1210	1	Y
133	2	"L4,L20"	CBC3225T4R7M	726	FIXED IND2518 4.7UH 1.01A 130 mOhm	Taiyo Yuden	CBC3225T4R7			IND1210	2.7	Y
134	4	"U36,U37,U71,U72"	AOZ1280CI	727	IC REG BUCK ADJ 1.2A 0.8V 3-26V SOT23-6 1.5MHz	Alpha&Omega	AOZ1280CI			SOT95P280X125-6N	1.25	Y
135	22	"R49,R50,R51,R52,R55,R56,R61,R64,R66,R67,R69,R70,R71,R72,R76,R77,R78,R79,R80,R87,R157,R158"	4.7K_0603	"RES, 4.7K OHM, 5%, 0402"	Rohm	RC0603FR-074K7L				0.3	Y	
136	4	"C101,C102,C103,C104"	560uF_6V3_E7	748	CAP POLYMER 560UF 20% 6.3V SMD 8.3x8.3x7.0	Nichicon	RHA0J561MCN1GS 			RHA0J561MCN1GS 	7	Y
137	8	"C1,C2,C3,C4,C2006,C2007,C2008,C2009"	270uF_16V_H70	749	CAP POLYMER 270UF 20% 16V SMD  H70 8.3x8.3x7.0	UnitedChemiCon	APXG160ARA271MH70G 			AE_H70	7	Y
138	3	"U31,U32,U38"	AOZ1034DI	751	IC REG BUCK ADJ 4A 0.8V 4.5-18V 8DFN 500KHz	Alpha&Omega	AOZ1034DI			DFN095P500X600X90-8EP2	0.8	Y
139	26	"C67,C68,C69,C70,C71,C72,C73,C74,C172,C173,C174,C175,C176,C177,C178,C391,C392,C393,C394,C395,C501,C502,C503,C601,C602,C603"	560uF_2V_SPCAP3_ESR3	753	CAP ALUM POLY 560UF 20% 2V SMD ESR 4.5mOhm	Panasonic	EEF-LX0D561R4			SPCAP_3	2.1	Y
140	2	"CON17,CON18"	PCIE_X16_FEMALE_CONN	755	CONN PCI EXPRESS 164POS VERT PCB high mass support	Amphenol	10083987-11213TLF	winning	WPCS-164AN41B22UWL 	PCIE_X16_FEMALE_CONN	25	Y
141	2	"D13,D16"	RS3AB-13-F	756	DIODE GEN PURP 50V 3A SMB 	Diodes	RS3AB-13-F			SMB	2.62	Y
142	4	"D5,D6,D9,D10"	MBRS130L	760	DIODE SCHOTTKY 30V 2A SMB	Diodes	MBRS130L				2.2	Y
143	16	"CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16"	10124806-01006LF	763	CON DDR4 288P PRESS FIT 	Amphenol	10124806-01006LF			10124806-01006LF	33.65	Y
144	1	U79	MT40A256M16GE-083	764		Micron	MT40A256M16GE-083			FBGA-DDR-96		Y
145	1	CON31	HDR_1X4_2MM54_VT_TH	771	"HDR MALE, 1X4 VERT TH  2.54 MM "	MOLEX	22-28-4043			22-28-4043	0.24	Y
146	4	"L5,L6,L10,L15"	MAMK2520T1R0M	786	FIXED IND 1UH 2.7A 59 MOHM 2.5x2x1.2	Taiyo Yuden	MAMK2520T1R0M				1.2	Y
147	1	CON37	200-015-263R001	N21	"dsub15, female ra thin"	Norcomp	200-015-263R001 			200-015-263R001 	10.8	Y
148	1	U43	SI52111-B12-GM2	N15	OSC PCIE Gen4 3.3V 1OUT	Silabs	SI52111-B12-GM2			TDFN050P300X300X075-8EP1	0.75	Y
149	1	U48	SI52146-A04AGM	N16	CLK GEN PCIE GEN4 3.3V 6OUT	Silabs	SI52146-A04AGM			QFN50P500X500X08-32EP1	0.8	Y
150	1	U49	SI5351A-B07681-GT	N17	CLK GEN 3.3V 3OUT CUSTOM	Silabs	Si5351A-B07681-GT			MSOP50P490X110-10AN	1.1	Y
151	1	U128	PCF85063TP	N23	IC RTC CLK/CALENDAR I2C 8-SON 	NXP	PCF85063TP			DFN50P200X300X075-8EP1	0.75	Y
152	1	CON27	0862-1J1T-43-F	EG1	"1 Port RJ45 Magjack  10/100/1000 Base-T, AutoMDIX  Dual USB A "	Belfuse	0862-1J1T-43-F 			0862-1J1T-43-F 	29.72	Y
153	1	CON47	67997-210HLF	EG3	HDR MALE 2X5 TH INTERNAL USB CABLE	Amphenol	67997-210HLF		67997-210HLF	68449-278HLF	10	Y
154	1	U51	AST2500	bmc1		Aspeed	AST2500			456LD_TFBGA		Y
155	3	"U64,U65,U70"	MX25L25735FZ2I-10G	bmc3		Macronix	MX25L25735FZ2I-10G			WSON127P800X600X700-8EP1		Y
156	1	X1	ASEMB-24.000MHZ-LC-T	bmc4		Abracon	ASEMB-24.000MHZ-LC-T			OSCCC320X250X085_4N		Y
157	1	CON40	39-28-1083	EG6	CONN ATX HDR 24POS 4.2MM VERT TIN	Molex	39-28-1083			39-28-1083	12.8	Y
158	1	CON52	15-91-0240	EG7	CONN HEADER 2X10 VERT TH 2.54 MM TIN-LEAD	Molex	15-91-0240			15-91-0240	10	Y
159	2	"CON22,CON54"	67800-5003	EG8	CONN PLUG SATA 7PS VERT PCB GOLD	Molex	67800-5003			67800-5003	8.4	Y
160	6	"CON41,CON42,CON43,CON44,CON45,CON46"	47053-1000	EG9	CONN HEADER 4POS .100 VERT GOLD	Molex	47053-1000			47053-1000	11.7	Y
161	8	"U12,U13,U14,U16,U20,U21,U25,U26"	LM75BDP	EG12	SENSOR TEMPERATURE I2C 8TSSOP 	NXP	"LM75BDP,118"			TSOP65P300X175-8N	1.1	Y
162	1	U50	LTC2804CGN	EG13	IC TXRX RS232 DUAL 16-SSOP 1.8-5.5V	Linear	LTC2804CGN-1			TSSOP65P760X120-16AN	1.75	Y
163	1	U52	LTC2801CDE	EG14	IC TXRX RS232 12-DFN 1.8-5.5V	Linear	LTC2801CDE			DFN050P400X300X75-12EP1	0.75	Y
164	1	U56	USB2514B/M2	EG15	USB 2.0 Hub Controller 4-port	Microchip	USB2514B/M2			QFN50P600X600X90-36EP1	1.1	Y
165	2	"U33,U34"	TPS53317ARGB	EG16	IC REG BUCK SYNC 6A 20VQFN	TI	TPS53317ARGB			VQFN50P400X350X100-20EP1	1	Y
166	4	"CON24,CON33,CON34,CON35"	3220-10-0300-00	EG21	"HDR 2x10 male, Shrouded 1.27mm SMT"	CNC Tech	3220-10-0300-00			3220-10-0300-00	5.4	Y
167	6	"U6,U7,U8,U9,U10,U77"	PCA9617ADP	EG22	IC REDRIVER I2C 1CH 400KHZ 8SO 	NXP	PCA9617ADP			SOIC127P600X175-8AN	1	Y
168	1	U73	CAT24C64WI-GT3 	EG23	IC EEPROM 64KBIT 400KHZ 8SOIC 	TI	CAT24C64WI-GT3 			SOIC127P600X175-8AN	1	Y
169	4	"C31,C32,C33,C34"	10uF_16V_0805	OSP2	CAP CER 10UF 16V X5R 20% 0805	Murata	GRM21BR60J106ME19L	venkel	C0805X5R160-106KNE	CAP0805	1.25	Y
170	2	"U27,U84"	IR35215M	EG24	VR13 Multi-Phase Ctrl 2 loops 8 phase 3.3V QFN40	Infineon	IR35215MTRPBF		IR35215M	QFN40P500X500X55-40EP1	0.85	Y
171	10	"U41,U42,U44,U45,U46,U47,U60,U74,U75,U81"	TDA21460	EG25	"Power Stage 4.25-16V 60A, 5V VCC"	Infineon	TDA21460AUMA1		TDA21460	TDA21460	1.1	Y
172	1	B1	AI-1027-TWT-5V-R	EGB1	 AUDIO MAGNETIC INDICATOR 3-7V TH	PUI Audio	AI-1027-TWT-5V-R					
173	1	SW3	ML3-AG2HB-CT-V-R	EGB2	Tact Switch SPST-NO LED BLUE RA	Diptronics	ML3-AG2HB-CT-V-R					
Part Provided By Customer												
174	1	U1	APM_Skylark_v04_160920	APM1	X-Gene 3 Processor	APM	Skylark			BGA3409C080P61X61_5000X5000	2	Y
Do not install parts												
175	1	HS1	HS_T381	X-Gene Heatsink Assembly 165W TDP	Custom	HS_T381			HS_T381	27	Y	
176	1	SKT1	SkylarkSocket	Skylark Socket	Custom							
177	12	"FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,FID9,FID10,FID11,FID12"	FID1_3	"pseudo part, fiducial"								
178	5	"TP116,TP117,TP118,TP134,TP205"	TP46D28PTH	"pseudo part, test point"								
179	7	"TP1,TP2,CON28,CON36,TP120,TP132,TP133"	NI-HDR_1X3_2MM54_VT_TH									
180	9	"C27,C77,C78,C98,C99,C714,C748,C758,C768"	NI-0.1uF_0402									
181	3	"J3,J8,J10"	NI-22-28-4023									
182	8	"MT1,MT2,MT3,MT4,MT5,MT6,MT7,MT8"	MTH300D156PTH									
183	7	"R990,R991,R992,R993,R994,R995,R996"	NI-0R_0402									
184	1	R1297	NI-1K_0402									
185	141	"TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51,TP52,TP53,TP54,TP55,TP56,TP57,TP58,TP59,TP60,TP61,TP62,TP63,TP64,TP65,TP66,TP67,TP68,TP69,TP70,TP71,TP72,TP73,TP74,TP75,TP76,TP77,TP78,TP79,TP80,TP81,TP82,TP83,TP84,TP85,TP86,TP87,TP88,TP89,TP90,TP91,TP92,TP93,TP94,TP95,TP96,TP97,TP98,TP99,TP100,TP101,TP102,TP103,TP104,TP105,TP106,TP107,TP108,TP109,TP110,TP111,TP112,TP113,TP114,TP115,TP119,TP121,TP122,TP123,TP124,TP125,TP126,TP127,TP128,TP129,TP130,TP131,TP135,TP136,TP137,TP138,TP139,TP140,TP141,TP142,TP143,TP144,TP145,TP146,TP147,TP148,TP149,TP150"	TP20C10PTH									
