''	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS	Note160803	TMA_COST	PL_COST	CostTMA_170921	CostPL_170921	Ucost	Cost1	Break2	Cost2	Reel	CostReel	Ucost	DSTR	PartNum	Qty	Price	Date	BB3B1_82	BB3C_8	SydneyRevC_122	TMA-043_80	TSrevC_40	RNS_B_8	TMA-054_10	Nuvola_8	SydneyD_8	RTK_8	BB3B1_50	BMC	RP1_12	TMA55_6	RTK0EN_4	BP1_6	OspreyA1	EagleA2	R170727	B170921	BMC_140	OSPa1_146	B170921_1200	EagleB0_10	B170921_1200	
'470pF_0402'	16	CAP, 470pF, NPO, 50V, 10%,0402	AVX	04025A471JAT2A	Venkel	C0402C0G500-471KNE	CAP0402	0.55	Y	REMOVED	0.0023 	0.0000 	0.00 	0.00 	0.00234	venkel	C0402C0G500-471KNE	10000	23.4	140818							20	20	9	0 	18 	16	0	0	9	12	20	0	0 	0 	1	0 	0	0 		0	0 	0	0 	0	0 	
'680pF_0402'	17	CAP, 680pF, X7R, 50V, 10%,0402	MURATA	GRM155R71H681KA01D			CAP0402	0.3	Y		0.0025 	0.0000 	12.81 	0.00 	0.0025	TTI	GRM155R71H681KA01D	10000	25	140303							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	6	0 	6	6 	6000	6000	0 	6	5124 	0	5124 	
'1000pF_0402'	18	CAP, 1000pF, X7R, 50V, 10%,0402	MURATA	GRM155R71H102KA01D	Panasonic	ECJ0EB1H102K	CAP0402	0.3	Y		0.0016 	0.0000 	2.53 	0.00 	0.0016	Arrow	GRM155R71H102KA01D	10000	16	121107							5	5	5	0 	7 	21	0	0	5	20	5	3	0 	0 	20	0 	0	0 	2000	2000	3 	0	1580 	0	1580 	
'1.2nF_0402'	19	CAP, 1200pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H122KA01D	Venkel	C0402X7R250-122KNP	CAP0402	0.3	Y		0.0000 	0.0160 	0.00 	112.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'1.5nF_0402'	20	CAP, 1500pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H152KA01D							0.0000 	0.0160 	0.00 	40.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	2500	2500	0 	0	2500 	0	2500 	
'1.8nF_0402'	21	CAP, 1800pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H182KA01D	Venkel	C0402X7R250-182KNP	CAP0402	0.3	Y		0.0014 	0.0000 	11.04 	0.00 	0.00138	venlel	C0402X7R250-182KNP	10000	13.8	130122							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'2.2nF_0402'	22	CAP, 2200pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H222KA01D	Venkel	C0402X7R250-222KNP	CAP0402	0.3	Y		0.0000 	0.0160 	0.00 	180.61 		0.02	1000	0.016	10000	0.0013							0	0	3	0 	2 	1	0	0	3	1	0	3	0 	0 	0	0 	2	2 	12000	12000	3 	2	11288 	0	11288 	
'3.3nF_0402'	23	CAP, 3300pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H332KA01D	Venkel	C0402X7R250-332KNP	CAP0402	0.3	Y		0.0000 	0.0160 	0.00 	88.64 		0.02	1000	0.016	10000	0.0013							0	0	3	0 	2 	0	0	0	3	0	0	3	0 	0 	0	0 	0	0 	6000	6000	3 	0	5580 	4	5540 	
'3.9nF_0402'	24	CAP, 3900pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H392KA01D	Venkel	C0402X7R250-392KNP	CAP0402	0.3	Y		0.0000 	0.0160 	0.00 	112.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	3 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'4.7nF_0402'	25	CAP, 4700pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H472KA01D							0.0000 	0.0160 	0.00 	23.36 		0.02	1000	0.016	10000	0.0013							5	5	0	0 	0 	0	0	0	0	3	5	0	0 	0 	0	0 	0	0 	1500	1500	0 	0	1500 	4	1460 	
