''	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS	Note160803	TMA_COST	PL_COST	CostTMA_170921	CostPL_170921	Ucost	Cost1	Break2	Cost2	Reel	CostReel	Ucost	DSTR	PartNum	Qty	Price	Date	BB3B1_82	BB3C_8	SydneyRevC_122	TMA-043_80	TSrevC_40	RNS_B_8	TMA-054_10	Nuvola_8	SydneyD_8	RTK_8	BB3B1_50	BMC	RP1_12	TMA55_6	RTK0EN_4	BP1_6	OspreyA1	EagleA2	R170727	B170921	BMC_140	OSPa1_146	B170921_1200	EagleB0_10	B170921_1200	
'10.2K_1%_0402'	196	RES 10.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1022X			RES0402	0.3	Y		0.0006 	0.0000 	6.11 	0.00 	0.0023	arrow	ERJ-2RKF1022X	10000	23	140303	0.0006	venkel	CR0402-16W-1022FT	10000	6.20	150810	8	8	1	0 	2 	0	0	0	1	0	8	1	0 	0 	0	4 	5	5 	11000	11000	1 	5	10130 	27	9860 	
'10.7K_1%_0402'	197	RES 10.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1072X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	37.40 		0.025	1000	0.017	10000	0.005							1	1	0	0 	0 	0	0	0	0	0	1	0	0 	0 	0	0 	0	0 	2200	2200	0 	0	2200 	0	2200 	
'11.3K_1%_0402'	198	RES 11.3K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1132X	Venkel	CR0402-16W-1132FT		0.3	Y		0.0006 	0.0000 	4.27 	0.00 	0.00061	Venkel	CR0402-16W-1132FT	10000	6.1	130213							0	0	0	0 	0 	1	0	0	0	1	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'11.5K_1%_0402'	199	RES 11.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1152X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	99.35 		0.1	1000	0.017	10000	0.0035							1	1	0	0 	0 	0	0	0	0	0	1	0	0 	0 	0	0 	1	1 	6000	6000	0 	1	5854 	1	5844 	
'12K_1%_0402'	200	RES 12K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1202X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	130.70 	0.00072	Venkel	CR0402-16W-1202FT	10000	7.2	170518							2	0	30	1 	0 	1	1	0	26	1	2	0	0 	0 	1	1 	2	3 	8000	8000	0 	2	7708 	2	7688 	
'12.1K_1%_0402'	201	RES 12.1K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1212X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	153.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	9000	9000	0 	0	9000 	0	9000 	
'12.4K_1%_0402'	202	RES 12.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1242X			RES0402	0.3	Y		0.0027 	0.0000 	20.25 	0.00 	0.0027	arrow	ERJ-2RKF1242X	10000	27	120406							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	0	7500 	
'12.7K_1%_0402'	203	RES 12.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1272X	venkel	CR0402-16W-1272FT		0.3	Y		0.0006 	0.0000 	2.29 	0.00 	0.00061	venkel	CR0402-16W-1272FT	10000	6.1	130213							4	4	1	0 	5 	0	0	0	3	1	4	0	0 	0 	0	0 	5	4 	4500	4500	0 	5	3770 	1	3760 	
'13.3K_1%_0402'	204	RES 13.3K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1332X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	84.32 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	1 	0	0 	0	0 	5000	5000	0 	0	5000 	4	4960 	
'13.7K_1%_0402'	205	RES 13.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1372X	Venkel	CR0402-16W-1372FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	96.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	1 	0	0	0	0	0	0	0	0 	3 	1	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'14.3K_1%_0402'	206	RES, 14.3K OHM, 1%, 0402	Panasonic	ERJ-2RKF1432X	Venkel	CR0402-16W-1432FT	RES0402	0.3	Y		0.0013 	0.0000 	9.75 	0.00 	0.0013	venkel	CR0402-16W-1432FT	10000	13	121121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	0	7500 	
'14.7K_1%_0402'	207	RES 14.7K  1% 0402	KOA SPEER	RK73H1ETTP1472F			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	170.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	10000	10000	0 	0	10000 	0	10000 	
'15K_1%_0402'	208	RES 15K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1502X			RES0402	0.3	Y		0.0014 		12.46 	0.00 	0.00143	Venkel	CR0402-16W-1502FT	10000	14.3	170914							1	1	0	0 	2 	0	0	0	0	2	1	0	0 	0 	0	0 	2	2 	200	10200	0 	2	8714 	0	8714 	
'15.8K_1%_0402'	209	RES 15.8K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1582X	Venkel	CR0402-16W-1582FT	RES0402	0.3	Y		0.0006 	0.0000 	4.27 	0.00 	0.00061	Venkel	CR0402-16W-1582FT	10000	6.1	130213							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'16.5K_1%_0402'	210	RES 16.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1652X	Venkel	CR0402-16W-1652FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	96.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'16.9K_1%_0402'	211	RES 16.9K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1692X	Venkel	CR0402-16W-1692FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	96.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'17.4K_1%_0402'	212	RES 17.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1742X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	40.02 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	1	0	0	0	1	0	0	0 	0 	0	0 	1	1 	2500	2500	0 	1	2354 	0	2354 	
'18.2K_1%_0402'	213	RES, 18.2K OHM, 1%, 0402	Panasonic	ERJ-2RKF1822X	Venkel	CR0402-16W-1822FT	RES0402	0.3	Y		0.0000 	0.0020 	0.00 	11.70 		0.003	1000	0.002	10000	0.0018							0	0	1	0 	0 	0	0	0	1	0	0	1	0 	0 	0	0 	0	0 	6000	6000	1 	0	5860 	1	5850 	
'19.1K_1%_0402'	214	RES 19.1K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1912X			RES0402	0.3	Y		0.0027 	0.0000 	21.60 	0.00 	0.0027	arrow	ERJ-2RKF1912X	10000	27	120406							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'19.6K_1%_0402'	215	RES 19.6K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1962X	Venkel	CR0402-16W-1962FT	RES0402	0.3	Y		0.0006 	0.0000 	4.03 	0.00 	0.00062	Venkel	CR0402-16W-1962FT	10000	6.2	140303							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	1	0 	0	0 	6500	6500	0 	0	6500 	0	6500 	
'20K_1%_0402'	216	RES 20K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2002X			RES0402	0.3	Y		0.0014 		13.94 	0.00 	0.00072	Venkel	CR0402-16W-2002FT	10000	7.2	170518	0.00143	Venkel	CR0402-16W-2002FT	10000	14.3	170914	4	4	2	0 	4 	1	0	0	4	4	4	0	0 	0 	0	0 	7	8 	800	10800	0 	7	9778 	3	9748 	
'20.5K_1%_0402'	217	RES 20.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2052X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	247.38 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	2 	0 	0	0 	3	2 	15000	15000	0 	3	14562 	1	14552 	
'22.6K_1%_0402'	218	RES 22.6K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2262X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	85.00 		0.025	1000	0.017	10000	0.005							1	1	0	0 	0 	0	0	0	0	0	1	0	0 	0 	0	0 	0	0 	5000	5000	0 	0	5000 	0	5000 	
'23.7K_1%_0402'	219	RES 23.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2372X			RES0402	0.3	Y		0.0006 	0.0000 	9.30 	0.00 	0.00062	Venkel	CR0402-16W-2372FT	10000	6.2	140303							0	0	0	0 	1 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	15000	15000	0 	0	15000 	0	15000 	
'24.3K_1%_0402'	220	RES, 24.3K OHM, 1%, 0402	Panasonic	ERJ-2RKF2432X	Venkel	CR0402-16W-2432FT	RES0402	0.3	Y		0.0013 	0.0000 	9.10 	0.00 	0.0013	venkel	CR0402-16W-2432FT	10000	13	121121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'25.5K_1%_0402'	221	RES 22.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2552X	Venkel	CR0402-16W-2552FT	RES0402	0.3	Y		0.0006 	0.0000 	4.34 	0.00 	0.00062	Venkel	CR0402-16W-2552FT	10000	6.2	140303							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'26.1K_1%_0402'	222	RES 26.1K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2612X			RES0402	0.3	Y		0.0027 	0.0000 	21.22 	0.00 	0.0027	arrow	ERJ-2RKF2612X	10000	27	120406							0	0	0	0 	0 	0	0	0	0	0	0	1	0 	0 	0	0 	0	0 	8000	8000	1 	0	7860 	0	7860 	
'27.4K_1%_0402'	223	RES 27.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2742X	Venkel	CR0402-16W-2742FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	0.00 		0.02	1000	0.016	10000	0.0013							0	0	1	0 	1 	0	0	0	1	0	0	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'28.7K_1%_0402'	224	RES 28.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2872X	Venkel	CR0402-16W-2872FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	128.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'29.4K_1%_0402'	225	RES 29.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2942X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	102.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'30.1K_1%_0402'	226	RES 30.1K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3012X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	68.00 		0.025	1000	0.017	10000	0.005							0	0	1	0 	0 	0	0	0	1	0	0	0	0 	0 	0	0 	0	0 	4000	4000	0 	0	4000 	0	4000 	
'31.6K_1%_0402'	227	RES 31.6K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3162X	Venkel	CR0402-16W-3162FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	93.50 		0.02	1000	0.016	10000	0.0013							1	1	0	0 	0 	0	0	0	0	1	1	0	0 	0 	0	0 	1	1 	6000	6000	0 	1	5854 	1	5844 	
'33.2K_1%_0402'	228	RES 33.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3322X			RES0402	0.3	Y		0.0015 	0.0000 	9.00 	0.00 	0.0015	Venkel	CR0402-16W-2491FT	10000	15								0	0	0	0 	0 	0	0	1	0	0	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'34.8K_1%_0402'	229	RES 34.8K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3482X			RES0402	0.3	Y		0.0027 	0.0000 	21.60 	0.00 	0.0027	arrow	ERJ-2RKF3482X	10000	27	120406							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	1	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'36.5K_1%_0402'	230	RES 36.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3652X	Venkel	CR0402-16W-3652FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	104.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	6500	6500	0 	0	6500 	0	6500 	
'37.4K_1%_0402'	231	RES 37.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3742X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	59.50 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	1	0 	0	0 	3500	3500	0 	0	3500 	0	3500 	
'39.2K_1%_0402'	232	RES 39.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3922X			RES0402	0.3	Y		0.0006 	0.0000 	3.66 	0.00 	0.00061	venkel	CR0402-16W-3922FT	10000	6.1	130123							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	1 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'42.2K_1%_0402'	233	RES 42.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4222X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	38.08 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'43.2K_1%_0402'	234	RES 43.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4322X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	38.08 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'45.3K_1%_0402'	235	RES 45.3K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4532X			RES0402	0.3	Y		0.0027 	0.0000 	20.25 	0.00 	0.0027	arrow	ERJ-2RKF4532X	10000	27	120406							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	0	7500 	
'47K_1%_0402'	236	RES 47K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4702X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	42.50 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	2500	2500	0 	0	2500 	0	2500 	
'47.5K_1%_0402'	237	RES 47.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4752X			RES0402	0.3	Y		0.0000 	0.0070 	0.00 	56.00 		0.1	1000	0.007	10000	0.0035							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'48.7K_1%_0402'	238	RES 48.7K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4872X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	43.52 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'52.3K_1%_0402'	239	RES 52.3K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF5232X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	32.64 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	1	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'60.4K_1%_0402'	240	RES 60.4K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF6042X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	38.08 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'61.9K_1%_0402'	241	RES 47.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF6192X			RES0402	0.3	Y		0.0000 	0.0054 	0.00 	40.80 		0.0149	1000	0.00544	10000	0.00281							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	0	7500 	
'68.1K_1%_0402'	242	RES, 68.1K OHM, 1%, 0402	Panasonic	ERJ-2RKF6812X	Venkel	CR0402-16W-6812FT	RES0402	0.3	Y		0.0000 	0.0070 	0.00 	52.43 		0.018	1000	0.007	10000	0.0035							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	1	7490 	
'73.2K_1%_0402'	243	RES 73.2K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF7322X			RES0402	0.3	Y		0.0027 	0.0000 	15.07 	0.00 	0.0027	arrow	ERJ-2RKF7322X	10000	27	120406							0	0	3	0 	2 	0	0	0	3	0	0	3	0 	0 	0	0 	0	0 	6000	6000	3 	0	5580 	0	5580 	
'80.6K_1%_0402'	244	RES 80.6K 1% 0402	VISHAY	CRCW040280K6FKED			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	136.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'84.5K_1%_0402'	245	RES 84.5K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF8451X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	170.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	10000	10000	0 	0	10000 	0	10000 	
'88.7K_1%_0402'	246	RES 88.7K 1% 0402	NIC COMP	NRC04F8872TRF			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	144.50 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8500	8500	0 	0	8500 	0	8500 	
'90.9K_1%_0402'	247	RES 90.9K 1% 0402	VISHAY	CRCW040290K9FKTD			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	104.11 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	6	6 	7000	7000	0 	6	6124 	0	6124 	
'93.1K_1%_0402'	248	RES 93.1K 1% 0402	KOA SPEER	RK73H1RTTP9312F			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	119.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	1 	0	0	0	0	0	0	0	0 	0 	0	2 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'100K_1%_0402'	249	RES 100K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1003X			RES0402	0.3	Y		0.0013 	0.0000 	6.50 	0.00 	0.0013	Venkel	CR0402-16W-1003FT	10000	13	121004							0	0	1	0 	4 	0	0	3	1	0	0	0	0 	3 	1	0 	0	0 	5000	5000	0 	0	5000 	0	5000 	
'113K_1%_0402'	250	RES 113K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1133X	Venkel	CR0402-16W-1133FT	RES0402	0.3	Y		0.0006 	0.0000 	4.27 	0.00 	0.00061	venkel	CR0402-16W-1133FT	10000	6.1	130123							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'115K_1%_0402'	251	RES 115K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1153X			RES0402	0.3	Y		0.0027 	0.0000 	20.25 	0.00 	0.0027	arrow	ERJ-2RKF1153X	10000	27	130213							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7500	7500	0 	0	7500 	0	7500 	
'118K_1%_0402'	252	RES 118K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1183X	Venkel	CR0402-16W-1183FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	96.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	6000	6000	0 	0	6000 	0	6000 	
'162K_1%_0402'	253	RES 162K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1623X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	119.00 		0.025	1000	0.017	10000	0.0035							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'178K_1%_0402'	254	RES 178K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1783X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	136.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'200K_1%_0402'	255	RES 200K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF2003X			RES0402	0.3	Y		0.0030 	0.0000 	8.40 	0.00 	0.003	DK	ERJ-2RKF1003X	10000	30	110121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	2800	2800	0 	0	2800 	0	2800 	
'392K_1%_0402'	256	RES 392K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF3923X	venkel	CR0402-16W-3923FT	RES0402	0.3	Y		0.0006 	0.0000 	4.88 	0.00 	0.00061	venkel	CR0402-16W-3923FT	10000	6.1	130213							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'402K_1%_0402'	257	RES 402K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4023X	venkel	CR0402-16W-4023FT	RES0402	0.3	Y		0.0006 	0.0000 	4.88 	0.00 	0.00061	venkel	CR0402-16W-4023FT	10000	6.1	130213							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'422K_1%_0402'	258	RES 422K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4223X	venkel	CR0402-16W-4223FT	RES0402	0.3	Y		0.0006 	0.0000 	4.27 	0.00 	0.00061	venkel	CR0402-16W-4223FT	10000	6.1	130213							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	7000	7000	0 	0	7000 	0	7000 	
'432K_1%_0402'	259	RES 432K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4323X	Venkel	CR0402-16W-4323FT	RES0402	0.3	Y		0.0006 	0.0000 	6.10 	0.00 	0.00061	venkel	CR0402-16W-4323FT	10000	6.1	130123							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	10000	10000	0 	0	10000 	0	10000 	
'464K_1%_0402'	260	RES 464K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF4643X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	136.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'511K_1%_0402'	261	RES 511K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF5113X	venkel	CR0402-16W-5113FT	RES0402	0.3	Y		0.0023 	0.0000 	18.40 	0.00 	0.0023	arrow	ERJ-2RKF5113X	10000	23	140303							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'590K_1%_0402'	262	RES 590K OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF5903X	venkel	CR0402-16W-5903FT	RES0402	0.3	Y		0.0000 	0.0160 	0.00 	128.00 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'1M_1%_0402'	263	RES 1M OHM 1/16W 1% 0402 SMD	Panasonic	ERJ-2RKF1004X			RES0402	0.3	Y		0.0000 	0.0170 	0.00 	0.00 		0.025	1000	0.017	10000	0.005							1	1	3	0 	1 	0	0	0	3	0	1	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'10M_1%_0402'	264	RES 10M 1% 0402	Panasonic	ERJ-2RKF1005X	VENKEL	CR0402-16W-1005FT	RES0402	0.3	Y		0.0000 	0.0170 	0.00 	136.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'1R_0402'	265	RES 1 OHM 5% 0402	Panasonic	ERJ-2GEJ1R0X			RES0402	0.3	Y	USED ON OSPA1_146, balance 2R21_1%_0402	0.0000 	0.0170 	0.00 	0.07 		0.025	1000	0.017	10000	0.005							19	19	0	0 	0 	0	0	0	0	0	19	3	0 	0 	0	0 	12	7 	1400	1400	3 	6	104 	10	4 	
'4R7_0402'	266	RES 4.7 OHM 5% 0402	Panasonic	ERJ-2GEJ4R7X			RES0402	0.3	Y	REMOVED	0.0000 	0.0170 	0.00 	0.00 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'10R_0402'	267	RES 10 OHM 5% 0403	Panasonic	ERJ-2GEJ100X			RES0402	0.3	Y	T	0.0000 	0.0170 	0.00 	73.64 		0.025	1000	0.017	10000	0.005							0	0	0	0 	0 	0	0	0	1	0	0	0	0 	0 	0	0 	8	8 	5500	5500	0 	8	4332 	0	4332 	
'22R_0402'	268	RES 22 OHM 1/16W 5% 0402 SMD	Panasonic	ERJ-2GEJ220X			RES0402	0.3	Y	USED ON BMC_140	0.0000 	0.0170 	0.00 	0.00 		0.025	1000	0.017	10000	0.005							9	8	10	0 	12 	0	0	0	9	0	9	10	0 	0 	0	0 	0	0 	1200	1200	10 	0	0 	0	0 	
